J	          498237           157619           340618             0.32
Þ	            1551              240             1311             0.15
Ç	            1287              154             1133             0.12
B	         4853708           466177          4387531             0.10
Z	          249778            21888           227890             0.09
Q	          411762            35342           376420             0.09
X	          594994            47776           547218             0.08
Ū	             482               39              443             0.08
Ō	             802               67              735             0.08
P	         5716115           391913          5324202             0.07
M	         8253934           552970          7700964             0.07
I	        22182325          1473172         20709153             0.07
W	         6795902           427051          6368851             0.06
K	         2122163           117470          2004693             0.06
G	         6055437           344615          5710822             0.06
C	         8321302           536962          7784340             0.06
V	         3191668           120064          3071604             0.04
T	        29320458          1176856         28143602             0.04
S	        20346512           786480         19560032             0.04
F	         7550442           324089          7226353             0.04
A	        25648095           983908         24664187             0.04
Y	         5905636           158100          5747536             0.03
L	        12608492           398575         12209917             0.03
H	        20049820           576365         19473455             0.03
U	         9079357           146001          8933356             0.02
R	        19133316           390763         18742553             0.02
Œ	             115                2              113             0.02
O	        24351193           433935         23917258             0.02
N	        22147213           444623         21702590             0.02
Ī	             721               12              709             0.02
D	        13684183           336781         13347402             0.02
Ǫ	             615                6              609             0.01
E	        40402313           549554         39852759             0.01
É	           10787               92            10695             0.01
Æ	             369                5              364             0.01
Ā	            1555               22             1533             0.01
Υ	               1                0                1             0.00
Σ	               2                0                2             0.00
Ο	               1                0                1             0.00
Η	               1                0                1             0.00
Ȳ	             167                0              167             0.00
Û	             434                0              434             0.00
Ù	             325                0              325             0.00
Ü	               2                0                2             0.00
ʦ	               2                0                2             0.00
Ö	              72                0               72             0.00
Ô	             398                1              397             0.00
Ø	               1                0                1             0.00
Ǒ	               1                0                1             0.00
Î	             297                0              297             0.00
Ï	              15                0               15             0.00
Ę	             987                2              985             0.00
Ë	               6                0                6             0.00
Ē	             357                1              356             0.00
È	            2439                0             2439             0.00
Ê	            1743                2             1741             0.00
Ð	            1944                8             1936             0.00
Ǣ	               6                0                6             0.00
Â	             625                0              625             0.00
À	            3398                2             3396             0.00
Ä	               1                0                1             0.00
